birth,death,dimension
3.001666069030761719e-01,3.287856578826904297e-01,1.000000000000000000e+00
3.001666069030761719e-01,3.261901140213012695e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.518522381782531738e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.383784890174865723e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.343650698661804199e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.327161073684692383e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.306055068969726562e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.306055068969726562e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.306055068969726562e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.271085321903228760e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.271085321903228760e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.240370452404022217e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.209361433982849121e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.209361433982849121e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.209361433982849121e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.209361433982849121e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.182766139507293701e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.182766139507293701e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.182766139507293701e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.179622590541839600e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.159113824367523193e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.154362142086029053e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.120897412300109863e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.120897412300109863e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.106444776058197021e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.106444776058197021e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.095157444477081299e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.095157444477081299e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.087069690227508545e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.082207143306732178e-01,1.000000000000000000e+00
2.968164384365081787e-01,3.080584406852722168e-01,1.000000000000000000e+00
2.952964603900909424e-01,3.348133862018585205e-01,1.000000000000000000e+00
2.952964603900909424e-01,3.218695521354675293e-01,1.000000000000000000e+00
2.952964603900909424e-01,3.201562166213989258e-01,1.000000000000000000e+00
2.952964603900909424e-01,3.201562166213989258e-01,1.000000000000000000e+00
2.952964603900909424e-01,3.201562166213989258e-01,1.000000000000000000e+00
2.952964603900909424e-01,3.201562166213989258e-01,1.000000000000000000e+00
2.952964603900909424e-01,3.176476061344146729e-01,1.000000000000000000e+00
2.952964603900909424e-01,3.163858354091644287e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.518522381782531738e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.471311032772064209e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.295451402664184570e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.271085321903228760e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.271085321903228760e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.238826990127563477e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.238826990127563477e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.238826990127563477e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.238826990127563477e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.209361433982849121e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.209361433982849121e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.182766139507293701e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.182766139507293701e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.182766139507293701e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.182766139507293701e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.182766139507293701e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.165438473224639893e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.165438473224639893e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.159113824367523193e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.159113824367523193e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.159113824367523193e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.159113824367523193e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.138470947742462158e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.120897412300109863e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.120897412300109863e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.106444776058197021e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.095157444477081299e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.095157444477081299e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.095157444477081299e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.095157444477081299e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.095157444477081299e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.095157444477081299e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.087069690227508545e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.082207143306732178e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.080584406852722168e-01,1.000000000000000000e+00
2.915475964546203613e-01,3.080584406852722168e-01,1.000000000000000000e+00
